Function,Dimension,Algorithm,Run,Best Fitness
Sphere,5,PopulationV3_SelfAdaptive_GPU,1,3.1685452243896677e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,2,9.246421890687715e-11
Sphere,5,PopulationV3_SelfAdaptive_GPU,3,7.895624075221243e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,4,2.687104603072916e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,5,2.472705943754577e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,6,3.034939945149997e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,7,4.78902657693734e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,8,4.839748154759491e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,9,2.423948857874702e-10
Sphere,5,PopulationV3_SelfAdaptive_GPU,10,6.254957344810973e-10
Sphere,10,PopulationV3_SelfAdaptive_GPU,1,1.1909462172894498e-08
Sphere,10,PopulationV3_SelfAdaptive_GPU,2,4.6534924914416165e-09
Sphere,10,PopulationV3_SelfAdaptive_GPU,3,1.36666788952022e-08
Sphere,10,PopulationV3_SelfAdaptive_GPU,4,1.3689827806556828e-08
Sphere,10,PopulationV3_SelfAdaptive_GPU,5,8.47137997898444e-09
Sphere,10,PopulationV3_SelfAdaptive_GPU,6,9.109310090632276e-09
Sphere,10,PopulationV3_SelfAdaptive_GPU,7,1.1477780294944743e-08
Sphere,10,PopulationV3_SelfAdaptive_GPU,8,1.0142906633964741e-08
Sphere,10,PopulationV3_SelfAdaptive_GPU,9,9.724527974682228e-09
Sphere,10,PopulationV3_SelfAdaptive_GPU,10,1.0656625937764551e-08
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,1,4.9747954540661325
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,2,9.949580596240608
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,3,5.969749400497001
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,4,3.9798363084775445
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,5,5.969749420602646
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,6,9.949580633703043
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,7,11.939478575196986
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,8,7.959667729454679
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,9,13.929391637451282
Rastrigin,5,PopulationV3_SelfAdaptive_GPU,10,13.929412111739346
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,1,21.889061210397045
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,2,19.899146747211546
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,3,40.79317637760579
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,4,27.858803396211997
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,5,29.8486625481531
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,6,36.813404794436124
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,7,22.884018909512037
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,8,27.858743109758166
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,9,16.91429034280624
Rastrigin,10,PopulationV3_SelfAdaptive_GPU,10,31.83863490428618
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,1,0.00899567999385848
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,2,0.0942413433939134
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,3,0.0018169069313731694
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,4,0.0040622401721829874
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,5,0.024804870075821814
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,6,0.00031059179967024895
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,7,0.0019817652997200777
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,8,0.04087279199452471
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,9,0.2182571084591056
Rosenbrock,5,PopulationV3_SelfAdaptive_GPU,10,0.008937036020720702
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,1,1.0024830713476653
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,2,1.9908772567830684
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,3,2.799379468170452
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,4,0.011940787067706977
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,5,0.9340989587034533
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,6,0.5763910295945727
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,7,0.03887650988028095
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,8,4.587394489766651
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,9,0.7751589781542886
Rosenbrock,10,PopulationV3_SelfAdaptive_GPU,10,0.9509625653524295
